Block Lot	Planning Neighborhood	Best Stat	Best Date	Units	Planning Project Description	DBI Project Description	Zoning_Generalized	Zoning_Simplified	TAZ	Total GSF (Commercial)	Office	Cult, Inst, Educ	Medical	Prod, Dist, Rep	Ret, Ent	Visitor	Planning ID	DBI Permit	Planning Filed	DBI Filed	HEIGHTLIMIT	ZONING	FirstFiled	LANDUSE	EntitlementStatus	Net Added Units	Net Added SF	Net Cult, Inst, Educ	Net Medical	Net Office	Net Prod, Dist, Rep	Net Ret, Ent	Net Visitor	Location 1
0527002	Marina	BP APPROVED	01-Nov-12	27	Demolish gas station and remove USTs; no new construction yet proposed	TO ERECT 6 STORIES, 27 UNITS RESIDENTIAL / RETAIL / GARAGE BUILDING.	Mixed Use	RC-3	366	0							2009.0024	201106017181	12-Jan-09	01-Jun-11	65-A	RC-3	12-Jan-09	Resident	-1	27	-2347	0	0	0	0	-2347	0	"2559 Van Ness Av
(37.799075000000002, -122.424255)"
0528008	Marina	BP Filed	25-Jun-07	7	Demo of existing; construction of new 7 unit four-story building.	 ERECT: 1 4 STORY, 7 UNIT TYPE 5 RESIDENTIAL STRUCTURE.	Neighborhood Commercial	UNION	366	0							2007.0598	200706255058	19-Jun-07	25-Jun-07	40-X	UNION	19-Jun-07	Resident	-1	4	0							"1662-1664 Union St.
(37.798352000000001, -122.426636)"
0531004	Marina	PL Approved	22-Oct-09	2	Demolition of existing single-family dwelling and construction of new 2-unit residence.		Residential	RH-2	360	0							2008.1349		17-Mar-09		40-X	RH-2	17-Mar-09	Resident	-1	1	0							"2919 Laguna St
(37.797922999999997, -122.430755)"
0550004	Northeast	BP Filed	02-Jul-07	2		ADD 1 STORY TO MAKE 1 ADDITIONAL RESIDENTIAL UNIT. ADD STRUCUTRAL BRACING ON GROUND FLOOR RESTAURANT	Neighborhood Commercial	POLK	367	0								200707025741		02-Jul-07	65-A	POLK	02-Jul-07	Resident	0	1	0							"2237 Polk St
(37.797415999999998, -122.42212600000001)"
0557019	Marina	CONSTRUCTION	06-Sep-12	1	To construct a 6-story, single-family house o a vacant lot in an RH-2 district.	ERECT:1  5-story single family dwelling	Residential	RH-2	359	0							2008.0215	200702134062	15-Feb-08	13-Feb-07	40-X	RH-2	13-Feb-07	Resident	-1	1	0							"2151 Green St
(37.796140000000001, -122.43444100000001)"
0570010	Marina	PL Approved	12-Mar-09	34	CU for 34 dwelling unit building		Residential	RM-3	353	0							2008.0862		22-Jul-08		80-A	RM-3	22-Jul-08	Resident	-1	34	0							"1622 Broadway
(37.795805999999999, -122.423903)"
0574011	Northeast	PL Approved	28-Jul-08	0	Addition and alteration of historic fire house into a retail and private club use of approx. 8681 sqft with no parking.		Neighborhood Commercial	POLK	351	8681					8681		2008.0467		22-Apr-09		65-A	POLK	22-Apr-09	Retail/Ent	-1	0	506					506		"1648 Pacific Av
(37.795065000000001, -122.422421)"
0595013	Northeast	BP ISSUED	04-Oct-12	38	Demo auto repair buildings and construct 65,000-sf, 50-unit, residential condominium building, with 50 stacker parking spaces at basement, with common lobby entrance and roof deck.	ERECT 6 STORY 38 UNIT RESIDENTIAL/COMMERCIAL/CONDOMINIUM BUILDING.	Neighborhood Commercial	POLK	345	0				0	0		2007.0519	201110146841	25-Jul-07	14-Oct-11	65-A	POLK	25-Jul-07	Resident	-1	38	-27275				-27275	0		"1645-1661 Pacific Av
(37.794804999999997, -122.42231700000001)"
0596024	Northeast	CONSTRUCTION	11-Dec-12	39	"The proposed project would demolish the three existing ""L""-shaped buildings and a 15-space surface parking lot and construct a new 43 unit residential building with 2,900 sq. ft. of groundfloor retail, and 45 parking spaces (29 car lifts). The proposed bu"	CONSTRUCTION OF TYPE III SIX-STORY THIRTY-EIGHT DEWLLING UNITS/RETAIL SPACE.	Neighborhood Commercial	POLK	345	2900					2900		2006.0826	200711148042	01-Aug-08	14-Nov-07	65-A	POLK	14-Nov-07	Mixres	-1	39	-9245					-9245		"1946 Polk St
(37.794586000000002, -122.421312)"
0619009	Northeast	PL Approved	20-Oct-11	62	Conditional Use for PUD		Mixed Use	RC-4	343	4900					4900		2011.0094		01-Feb-11		80-D	RC-4	01-Feb-11	Mixres	-1	62	-1050	3550				-4600		"1800 Van Ness Ave.
(37.792288999999997, -122.422612)"
0619012	Northeast	BP ISSUED	17-Nov-08	35	The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two su	TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.	Mixed Use	RC-4	343	1625	0	0	0	0	1625	0	2004.089	200602215057	20-Dec-05	21-Feb-06	80-D	RC-4	20-Dec-05	Mixres	-1	35	1625	0	0	0	0	1625	0	"1860 Van Ness Av
(37.792726000000002, -122.422633)"
0647007	Western Addition	PL FILED	05-Nov-08	250	Demolition of five buildings and construction of a mixed-use project with 250 dwelling units, 298 off-street parking spaces, 12,000 GSF office use, in a building ranging from 65-134 feet in height, 14 stories tall.  		Mixed Use	NC-3	330	12000	12000				0		2004.0764		28-Sep-07	27-Nov-00	130-E	NC-3	27-Nov-00	Mixres	0	250	448			12000		-11552		"1634 Pine St
(37.789593000000004, -122.42296)"
0654001F	Japantown	BP Filed	23-Aug-07	0		Site Permit. One story vertical addition over existing stucture, and one story horizontal addition to the rear for 2 retail spaces on the 1st floor, and 2 new office spaces on (n) 2nd floor.	Neighborhood Commercial	FILLMORE	321	5566	2014				3552			200708230748		23-Aug-07	40-X	FILLMORE	23-Aug-07	Mixed	0	0	3553			2014		1539		"2429 California St
(37.788710999999999, -122.434348)"
0660007	Japantown	CONSTRUCTION	04-Nov-10	2	Demolition of two-family dwelling building and construction of new two-unit structure.  	TO ERECT 3 STORIES, 2 UNITS RESIDENTIAL BUILDING.	Residential	RH-2	321	0	0	0	0	0	0	0	2006.1356	200602245389	13-Jun-07	24-Feb-06	40-X	RH-2	24-Feb-06	Resident	-1	2	0	0	0	0	0	0	0	"19 Wilmot St
(37.787514000000002, -122.432282)"
0667016	Northeast	PL APPROVED	22-Oct-12	113	Demolish three existing buildings and construct two buildings, a 14-story building and a six-story building containing a total of 113 dwelling units, 113 parking spaces, and 10,000 sq. ft. of ground floor commercial. The new building would be approximatel		Mixed Use	RC-4	327	5229	0			0	5229		2006.0383		21-Nov-12		130-V	RC-4	21-Nov-12	Mixres	-1	113	-22771			-16000	-12000	5229		"1545 Pine St
(37.789402000000003, -122.42121899999999)"
0668012	Northeast	CONSTRUCTION	01-Aug-12	35		ERECT A FIVE STORY 35 DWELLING UNIT/COMM'L MIXED USE BUILDING	Neighborhood Commercial	POLK	327	0	0	0	0	0	0	0		200503167620		16-Mar-05	65-A	POLK	16-Mar-05	Resident	-1	35	0	0	0	0	0	0	0	"1465 Pine St
(37.789579000000003, -122.41985099999999)"
0671006	Western Addition	BP REINSTATED	25-Jun-09	69		"ERECT A 13 STORIES 69 RESIDENTIAL UNIT & COMMERCIAL BUILDING WITH PARKING;
DEMOLISH A 2 STORY AUTO SALES AND SERVICE GARAGE"	Mixed Use	NC-3	330	0								200809252660		25-Sep-08	130-E	NC-3	25-Sep-08	Resident	-1	69	-24000		0	0	0	-24000	0	"1450 Franklin St
(37.788010999999997, -122.423355)"
0691008	Downtown	CONSTRUCTION	08-Nov-12	107	Demolition of an existing movie theater and construction of 13-story mixed-use building with 120 dwelling units, appx. 180 off-street parking spaces, and appx. 16,500 gsf of ground floor commercial use.	TO ERECT 13 STORIES, 107 CONDOS AND GROUND FLOOR COMMERICIAL WITH 4 BASEMENTS.	Mixed Use	RC-4	319	16500					16500		2005.0298	200712069866	28-Feb-06	06-Dec-07	130-V	RC-4	28-Feb-06	Mixres	-1	107	-8308					-8308		"1285 Sutter St
(37.787455999999999, -122.42135)"
0757025	Western Addition	BP Filed	10-Jul-12	98	New construction of 5-story, 145-foot tall housing tower(s) with 98 affordable senior rental units	ERECT TYPE 1 & TYPE V NEW BUILDING	Residential	RM-3	281	0							2008.1162	201207104447	11-Dec-08	10-Jul-12	50-X	RM-3	11-Dec-08	Resident	-1	98	0							"1100 Golden Gate Av
(37.780045000000001, -122.42876699999999)"
0768013	Market Octavia	CONSTRUCTION	25-Jul-12	100		ERECT 8 STORIES OF 100 DWELLING UNITS.	Mixed Use	NCT-3	683	0	0	0	0	0	0	0		200610235755		23-Oct-06	50-X/120-X	NCT-3	23-Oct-06	Resident	-1	100	0	0	0	0	0	0	0	"701 Golden Gate Av
(37.780686000000003, -122.422252)"
0794015	Market Octavia	PL Approved	13-May-10	136	Demolition of existing 2-story industrial and office bldgs. of 19,620 sf with 70 parking spaces.  Construct residential bldg. of 143 units with 21,945 sf of commercial space on the ground floor, and 165 parking spaces.  22 parking spaces will be at the gr		Residential	RTO	268	19620	19620	0	0	0	0	0	2005.1085		29-Aug-08		40-50-X	RTO	29-Aug-08	Mixres	-1	136	2325	0	0	-19620	0	21945	0	"746 Laguna St
(37.777818000000003, -122.426447)"
0807010	Market Octavia	PL APPROVED	09-Mar-11	90	Construction of a five-story residential care facility with dwelling units on the top floor and retail on the ground floor.	ERECT A FIVE STORIES, 90 UNITS (SENIOR HOUSING)	Neighborhood Commercial	HAYES NCT	268	45632	0	0	38000	0	7632	0	2011.0229	200808078678	06-Jul-05	07-Aug-08	55-X	HAYES NCT	06-Jul-05	Mixres	-1	90	42432	0	38000	0	0	4432	0	"580 Hayes St
(37.776651000000001, -122.425884)"
0807022	Market Octavia	CONSTRUCTION	16-Nov-12	1	Construction of a new approx. 5,555 sq. ft., 4-story-over-basement, 40' tall, 3-unit residential building on vacant lot, w/ three off-street parking spaces.	AT REAR, ERECT 4 STORY SINGLE FAMILY DWELLING.	Residential	RTO	268	0	0	0	0	0	0	0	2006.1224	201111219392	04-Oct-06	21-Nov-11	40-X	RTO	04-Oct-06	Resident	-1	1	0	0	0	0	0	0	0	"543 Grove St
(37.777394000000001, -122.42551)"
0808036	Market Octavia	CONSTRUCTION	01-Nov-12	63	CU/PUD Amendment to previous PUD approval (Case No. 2007.0487C). Project proposes 63 dwelling units, 5,200 sf of retail uses, and 37 parking spaces. Architecture has been revised from previous approval. PUD Modifications requested for rear yard, usable op	ERECT 5 STORIES WITH 63 DWELLING UNITS	Neighborhood Commercial	HAYES NCT	619	5250					5250		2011.0399	201101289274	25-Apr-11	28-Jan-11	40-X/50-X	HAYES NCT	28-Jan-11	Mixres	-1	63	5250					5250		"401 Grove Street
(37.777676999999997, -122.423316)"
0813007	Market Octavia	PL Approved	28-May-09	230	Fox Plaza currently contains two buildings: a 29-story mixed-use building and a two-story commercial building.  The proposal would demolish the existing two-story, 19,000 structure located on the NE corner of the lot and construct a new building which wou		Commercial	C-3-G	647	17500	0	0	0	0	17500	0	2005.0979		19-Oct-05		120-X/200-S	C-3-G	19-Oct-05	Mixres	-1	230	-1500	0	0	-9500	0	8000	0	"1390 Market St
(37.776791000000003, -122.417444)"
0818020	Market Octavia	BP ISSUED	30-Aug-12	2		ERECT 4 STORIES 2 DWELLING UNITS BLDG.	Neighborhood Commercial	HAYES NCT	268	0								200703126040		12-Mar-07	40-X	HAYES NCT/RTO	12-Mar-07	Resident	-1	2	0							"476 Linden St
(37.776201999999998, -122.425742)"
0828012	Western Addition	PL Approved	02-Feb-08	0	PUD for Demolition of two structures (rectory and convent), new construction for Megan Furth Academy (K-8) expansion.		Residential	RM-1	265	38000		38000					2007.0677		03-Jul-07		40-X	RM-1	03-Jul-07	CIE	-1	0	16000	16000						"735 Fell St
(37.774900000000002, -122.429934)"
0832025	Market Octavia	BP Filed	01-Oct-08	16		TO ERECT 16 DWELLING UNIT WITH 5 STORIES NEW BLDG(CONDO AND RETAIL)	Neighborhood Commercial	HAYES NCT	259	0								200810013158		01-Oct-08	50-X	HAYES NCT	01-Oct-08	Resident	0	16	0							"300 Octavia St
(37.774903000000002, -122.423957)"
0832026	Market Octavia	BP Filed	01-Oct-08	16	Shadow Analysis	TO ERECT 16 DWELLING UNITS WITH 5 STORIES NEW BLDG(CONDO AND RETAIL)	Neighborhood Commercial	HAYES NCT	259	1000					1000		2008.0428	200810013162	11-Apr-08	01-Oct-08	50-X	HAYES NCT	11-Apr-08	Mixres	0	16	1000					1000		"360 Octavia St
(37.775449999999999, -122.424008)"
0837003	Market Octavia	BP Filed	03-Dec-09	35	Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328	CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.	Mixed Use	NCT-3	588	2384					2384		2010.0102	200912032516	19-Feb-10	03-Dec-09	50-X/85-X	NCT-3	03-Dec-09	Mixres	-1	35	2384					2384		"1 Franklin St
(37.774341999999997, -122.42084199999999)"
0839025	Market Octavia	CONSTRUCTION	24-Sep-12	16	Insert 4 new dwelling units in partial basement of existing residential buildings. Lot has two buildings, 335-341 Oak and 230 Lily. 230 Lily is a contributory building to the California register. Requires CU for density and V for open space	230 LILY STREET-CONVERT (E) STORAGE AT 1ST FLOOR INTO 2 NEW DWELLING UNITS	Residential	RTO	587	0							2008.0988	200806305670	21-Oct-08	30-Jun-08	40-X	RTO	30-Jun-08	Resident	-1	4	0							"335 Oak St
(37.774647999999999, -122.424848)"
0854001	Market Octavia	CONSTRUCTION	29-Nov-12	24	The project would demolish an existing commercial building and construct a new nine-story structure approximately 84 fee tall with ground floor restaurant (3,700 sq. ft.) and below ground parking for 8 spaces.  Total gross building area is 41,435 square f	TO ERET 5 STORIES, 24 UNITS RESIDENTIAL, RETAIL, STORAGE BUILDING.	Mixed Use	NCT-3	588	12100					12100		2007.0966	201109074027	16-May-11	07-Sep-11	85-X	NCT-3	16-May-11	Mixres	-1	24	16889					6889		"1600 Market St
(37.774012999999997, -122.420801)"
0855011	Market Octavia	BP Filed	03-Aug-12	49	"new construction of  mixed-use building containing +/- 49 dwelling units, +/-3,500 sq. ft. of ground-floor commercial space & a parking garage containing 37 residential-serving spaces & 2 commercial-serving spaces (39 total) -- ""C' for a lot in excess of "	ERECT 49 UNITS, 8 STORIES, PARKING, RESTAURANT, TYPE 1 NEW BUILDING.	Neighborhood Commercial	HAYES NCT	587	3530					3530		2008.0569	201208036517	14-May-08	03-Aug-12	50-X/85-X	HAYES NCT/NCT-3	14-May-08	Mixres	0	49	3530					3530		"4 Octavia St
(37.772171999999998, -122.423383)"
0857001	Market Octavia	PL Approved	17-Jan-08	133	Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for 		Residential	RM-3	243	3500	0	0	0	0	3500	0	2004.0773		31-Oct-06		40-X	RM-3	31-Oct-06	Mixres	-1	133	28090	12590	12000	0	0	3500	0	"55 Laguna Street
(37.771351000000003, -122.425394)"
0872005	Market Octavia	CONSTRUCTION	12-Dec-12	115	"Demolition/removal of gas station.  Construction of 115 condominium units (130,000 square feet), 9,000 square feet of retail, 109 parking spaces.  The building would be approximately 85 feet tall and eight stories in height.
1/11/07 Demolition/removal of "	TO ERECT 9 STORIES, 114 RESIDENTIAL UNITS WITH RETAIL & PARKING BUILDING.	Mixed Use	NCT-3	243	9000					9000		2010.1018	201012217106	29-May-07		85-X	NCT-3	29-May-07	Mixres	-1	115	9000					9000		"1960-1998 Market St
(37.770026000000001, -122.425974)"
1386015	Richmond	CONSTRUCTION	26-Jul-12	3		HORIZONTAL & VERTICAL ADDITION TO (E) BUILDING, ADD ONE MORE UNIT - FROM 2 UNITS TO 3 UNITS.	Residential	RM-1	314	0	0	0	0	0	0	0		200605091174		09-May-06	40-X	RM-1	09-May-06	Resident	-1	1	0	0	0	0	0	0	0	"279 26th Av
(37.784323999999998, -122.486284)"
1028003	Western Addition	PL Approved	17-Jan-08	12	The proposed project would demolish the existing two-story building on the site and construct a four-story consisting of 12 residential units, 4,924 sq. ft. of retail, 2,281 sq. ft. of office, and 18 parking spaces. The building would be approximately 40 		Mixed Use	NC-2	714	7205	2281	0	0	0	4924	0	2006.1525		30-Jan-07		40-X	NC-2	30-Jan-07	Mixres	-1	12	373	0	0	-4551	0	4924	0	"2829 California Street
(37.787871000000003, -122.44096)"
1684002I	Richmond	CONSTRUCTION	03-Jun-11	2	To construct a two-story vertical addition, fill in side setbacks at the rear of the structure and add one dwelling unit per the enclosed plans.	2 STORY VERTICAL ADDITION OVER EXISTING 2 STORY. CONVERT FROM 1 UNIT TO 2 UNITS	Residential	RH-2	576	0							2008.0742	200712200952	17-Jun-08	20-Dec-07	40-X	RH-2	20-Dec-07	Resident	-1	1	0							"6524 Fulton St
(37.771889000000002, -122.50166400000001)"
1029003	Western Addition	PL Approved	16-Jun-09	0	The proposed project would demolish the existing 40-foot tall 5,225 sf, three-unit residential building and construct a new three-story assembly and classroom wing consisting of 15,604 sf to the existing adjacent Drew School campus. The new building would		Residential	RM-1	714	42074	0	42074	0	0	0	0	2007.0128		05-Aug-08		40-X	RM-1	05-Aug-08	CIE	-1	-3	15604	15604	0	0	0	0	0	"2901 California St
(37.787711999999999, -122.442235)"
1052024	Western Addition	BP Filed	09-Nov-12	81	Demolition of existing convalescent care facility and construction of 84 residential dwelling units and 4,500 sq. ft. of retail. Building would be 40' and 65' in height and would total 168,900 sq. ft. with 126 parking spaces. 	ERECT 5-STORY TYPE V RESIDENTIAL & RETAIL BUILDING. GS	Mixed Use	NC-3	715	4500					4500		2005.1106	201211093966	29-Apr-08	09-Nov-12	40-X/65-A	NC-3	29-Apr-08	Mixres	-1	81	-40617	0	-45117	0	0	4500	0	"2655 Bush St
(37.785933, -122.440927)"
1069004	Richmond	BP ISSUED	01-Aug-08	2	DEMOLITION SFD	ERECT A FOUR STORY, TWO UNIT RESIDENTIAL DWELLING	Residential	RH-2	687	0	0	0	0	0	0	0	2006.0157	200602134511	29-May-07	13-Feb-06	40-X	RH-2	13-Feb-06	Resident	-1	2	0	0	0	0	0	0	0	"21 Wood St
(37.783935, -122.448837)"
1073013	Richmond	BP Filed	16-Apr-12	50	The proposed project would demolish the existing one-story community center and construct a new building consisting of 83 dwelling units (59 units of work-force housing and 21 units of affordable housing.), 21,500 sq. ft. community center on the ground fl	TO ERECT 5 STORIES, 50 UNITS COMMUNITY CENTER / HOUSING, MIXED USED BUILDING WITH 1 BASEMENT.	Residential	RM-1	311	21500	0	21500	0	0	0	0	2006.0868	201204168406	12-Nov-08	16-Apr-12	40-X/50-X	RM-1	12-Nov-08	Mixres	-1	50	10180	10180	0	0	0	0	0	"800 Presidio Av
(37.784362000000002, -122.446112)"
1080008	Western Addition	BP Filed	21-Feb-07	3		VERTICAL AND HORIZONTAL ADDITION AND REMODELING FROM ONE FAMILY RESIDENCE TO THREE FAMILY RESIDENCES.	Residential	RH-3	310	0	0	0	0	0	0	0		200702214545		21-Feb-07	40-X	RH-3	21-Feb-07	Resident	0	2	0	0	0	0	0	0	0	"1419 Broderick St
(37.783320000000003, -122.44134099999999)"
1084001B	Richmond	BP Filed	14-Dec-07	13	The proposed project would demolish the existing gas station and construct a new 13-unit residential building with 1,700 sq. ft. of ground floor retail and 14 parking spaces. The building would be approx. 24,256 sq ft, four-stories, and 40 feet in height.	ERECT A NEW 4 STORIES, 13 UNITS MIXED USE BUILDING	Mixed Use	NC-3	288	1700					1700		2007.0113	200712140534	30-Jan-07	14-Dec-07	40-X	NC-3	30-Jan-07	Mixres	-1	13	-1807					-1807		"1 Stanyan Street
(37.781256999999997, -122.456337)"
1101007	Western Addition	PL FILED	01-Sep-10	32			Mixed Use	NC-2	670	0											65-A	NC-2		Resident	0	32	-13264	0	0	0	-9064	-4200	0	"1301 Divisadero St
(37.781604999999999, -122.439229)"
1127007	Western Addition	CONSTRUCTION	08-Oct-10	19		TO ERECT 6 STORiES, 19 DWELLING S UNITS	Residential	RM-3	671	0								200806275595		27-Jun-08	65-A	RM-3	27-Jun-08	Resident	-1	19	0							"1816 Eddy St
(37.780881000000001, -122.43767699999999)"
1145003	Western Addition	CONSTRUCTION	12-Dec-12	0		TO ERECT 5 STORIES EDUCATION BUILDING.	Residential	RH-2	614	26000		26000					2008.0395	201008068321		06-Aug-10	80-D	RH-2	06-Aug-10	CIE	-1	0	26000	26000						"2130 Fulton St
(37.775252999999999, -122.45187900000001)"
1460024	Richmond	BP Filed	15-Apr-08	2		Add 2 stories over(e) 2 story S.F.D.convert into 2 units.1st flr: retain 2 car parking,bedrm,fam, ba	Residential	RH-2	660	0								200804159772		15-Apr-08	40-X	RH-2	15-Apr-08	Resident	0	1	0							"411 28th Av
(37.781506999999998, -122.488225)"
